REGION,MAE,RMSE,MAPE
Region 1,0.1760529999021014,0.3125656038807957,11.272212691580814
Region 10,0.19731746892074845,0.37752855931248525,11.571421306838085
Region 2,0.27252061065978533,0.3960306245843326,9.356911076693041
Region 3,0.19553405457588272,0.32361554327882763,9.851572461045945
Region 4,0.25299037332465346,0.40730165726267165,8.587326192208135
Region 5,0.20087413644347824,0.3717332710898802,10.947603753407343
Region 6,0.3198759406909734,0.4709853552301725,11.88568966377781
Region 7,0.2205155059379266,0.39887415478958566,12.737585836545287
Region 8,0.1870361722133285,0.28885118483253747,9.91912711215644
Region 9,0.23206489365305327,0.34022345897216394,10.059109296187058
